;;;;;;jêzyk polski;;;;;matematyka;;;;;jêzyk angielski;;;;;jêzyk francuski;;;;;jêzyk hiszpañski;;;;;jêzyk niemiecki;;;;;jêzyk rosyjski;;;;;jêzyk w³oski;;;;
ID OKE;województwo - nazwa;powiat - nazwa;Gmina - nazwa;Typ gminy;Kod teryt gminy;liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%)
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;54;58,88888889;17,95536304;56;78;53;34,43396226;23,53520802;27;20;53;50,20754717;30,33856658;36;20;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina miejska;0401011;140;64,2;17,52435041;67;64;140;40,49285714;27,38886542;33;13;140;65,91428571;30,50163595;79;96;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;B¹dkowo;Gmina wiejska;0401052;40;59,25;14,30515641;62;62;40;46,95;27,95527678;45;17;40;63,45;28,985298;67;87;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Ciechocinek;Gmina miejska;0401021;73;56,09589041;20,15091309;60;62;73;36,09589041;24,45693133;27;27;73;62,7260274;29,2650899;73;82;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Koneck;Gmina wiejska;0401062;6;57,33333333;20,03885115;65,5;;6;37;17,42603416;36,5;;6;62,16666667;32,61092182;71;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Nieszawa;Gmina miejska;0401031;10;52,2;10,47664068;52;53;10;22,4;15,28528704;20;20;10;55,3;32,92734426;66,5;98;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Raci¹¿ek;Gmina wiejska;0401072;24;63,75;14,95618601;64;40;24;45,875;31,30802945;38,5;13;24;66,54166667;27,92397292;70;96;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Waganiec;Gmina wiejska;0401082;32;54,8125;19,5806625;58;33;32;39,75;26,14861373;38,5;10;29;57,65517241;30,47245886;55;20;;;;;;;;;;;3;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Zakrzewo;Gmina wiejska;0401092;34;65,05882353;17,40510604;67;60;34;41,14705882;22,30949726;45;50;34;54,64705882;30,70052917;53;96;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bartniczka;Gmina wiejska;0402062;31;59,41935484;17,09890431;62;62;30;40,4;26,16307831;31,5;13;29;64,72413793;29,03018233;65;64;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;0402022;64;63,828125;16,0697257;64;56;64;49,65625;28,4798277;51,5;20;64;59,671875;32,80913301;68;91;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina miejska;0402011;353;61,93484419;20,10690278;64;69;353;51,5694051;28,57525969;50;17;340;71,09117647;27,92058978;84;98;;;;;;;;;;;;;;;;14;16,71428571;4,772369454;16;16;;;;;
