"Kod";"Nazwa";"Jednostki terytorialne";"Rodzaje wydatków";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1200000;"MAŁOPOLSKIE";"gminy łącznie z miastami na prawach powiatu";"ogółem";"2024";11397503192,11;"zł";"";
1200000;"MAŁOPOLSKIE";"gminy bez miast na prawach powiatu";"ogółem";"2024";7243720368,12;"zł";"";
1200000;"MAŁOPOLSKIE";"miasta na prawach powiatu";"ogółem";"2024";4153782823,99;"zł";"";
1201000;"Powiat bocheński";"gminy łącznie z miastami na prawach powiatu";"ogółem";"2024";369875457,86;"zł";"";
1201000;"Powiat bocheński";"gminy bez miast na prawach powiatu";"ogółem";"2024";369875457,86;"zł";"";
1201000;"Powiat bocheński";"miasta na prawach powiatu";"ogółem";"2024";0,00;"zł";"";
1201011;"Bochnia (1)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"2024";82268636,22;"zł";"";
1201011;"Bochnia (1)";"gminy bez miast na prawach powiatu";"ogółem";"2024";82268636,22;"zł";"";
1201011;"Bochnia (1)";"miasta na prawach powiatu";"ogółem";"2024";0,00;"zł";"";
1201022;"Bochnia (2)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"2024";65881749,62;"zł";"";
1201022;"Bochnia (2)";"gminy bez miast na prawach powiatu";"ogółem";"2024";65881749,62;"zł";"";
1201022;"Bochnia (2)";"miasta na prawach powiatu";"ogółem";"2024";0,00;"zł";"";
1201032;"Drwinia (2)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"2024";19475653,15;"zł";"";
1201032;"Drwinia (2)";"gminy bez miast na prawach powiatu";"ogółem";"2024";19475653,15;"zł";"";
1201032;"Drwinia (2)";"miasta na prawach powiatu";"ogółem";"2024";0,00;"zł";"";
1201042;"Lipnica Murowana (2)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"2024";19633494,93;"zł";"";
1201042;"Lipnica Murowana (2)";"gminy bez miast na prawach powiatu";"ogółem";"2024";19633494,93;"zł";"";
1201042;"Lipnica Murowana (2)";"miasta na prawach powiatu";"ogółem";"2024";0,00;"zł";"";
1201052;"Łapanów (2)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"2024";29950954,99;"zł";"";
1201052;"Łapanów (2)";"gminy bez miast na prawach powiatu";"ogółem";"2024";29950954,99;"zł";"";
1201052;"Łapanów (2)";"miasta na prawach powiatu";"ogółem";"2024";0,00;"zł";"";
1201063;"Nowy Wiśnicz (3)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"2024";52504807,60;"zł";"";
1201063;"Nowy Wiśnicz (3)";"gminy bez miast na prawach powiatu";"ogółem";"2024";52504807,60;"zł";"";
1201063;"Nowy Wiśnicz (3)";"miasta na prawach powiatu";"ogółem";"2024";0,00;"zł";"";
1201072;"Rzezawa (2)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"2024";35734112,34;"zł";"";
1201072;"Rzezawa (2)";"gminy bez miast na prawach powiatu";"ogółem";"2024";35734112,34;"zł";"";
1201072;"Rzezawa (2)";"miasta na prawach powiatu";"ogółem";"2024";0,00;"zł";"";
1201082;"Trzciana (2)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"2024";30514679,79;"zł";"";
1201082;"Trzciana (2)";"gminy bez miast na prawach powiatu";"ogółem";"2024";30514679,79;"zł";"";
1201082;"Trzciana (2)";"miasta na prawach powiatu";"ogółem";"2024";0,00;"zł";"";
1201092;"Żegocina (2)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"2024";33911369,22;"zł";"";
1201092;"Żegocina (2)";"gminy bez miast na prawach powiatu";"ogółem";"2024";33911369,22;"zł";"";
1201092;"Żegocina (2)";"miasta na prawach powiatu";"ogółem";"2024";0,00;"zł";"";
1202000;"Powiat brzeski";"gminy łącznie z miastami na prawach powiatu";"ogółem";"2024";291749373,99;"zł";"";
1202000;"Powiat brzeski";"gminy bez miast na prawach powiatu";"ogółem";"2024";291749373,99;"zł";"";
1202000;"Powiat brzeski";"miasta na prawach powiatu";"ogółem";"2024";0,00;"zł";"";
1202012;"Borzęcin (2)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"2024";22734280,32;"zł";"";
1202012;"Borzęcin (2)";"gminy bez miast na prawach powiatu";"ogółem";"2024";22734280,32;"zł";"";
1202012;"Borzęcin (2)";"miasta na prawach powiatu";"ogółem";"2024";0,00;"zł";"";
1202023;"Brzesko (3)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"2024";107043613,45;"zł";"";
1202023;"Brzesko (3)";"gminy bez miast na prawach powiatu";"ogółem";"2024";107043613,45;"zł";"";
1202023;"Brzesko (3)";"miasta na prawach powiatu";"ogółem";"2024";0,00;"zł";"";
1202033;"Czchów (3)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"2024";39960148,93;"zł";"";
1202033;"Czchów (3)";"gminy bez miast na prawach powiatu";"ogółem";"2024";39960148,93;"zł";"";
1202033;"Czchów (3)";"miasta na prawach powiatu";"ogółem";"2024";0,00;"zł";"";
