"Kod";"Nazwa";"Powierzchnia";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1200000;"MAŁOPOLSKIE";"ogółem w km2";"2024";15184;"km2";"";
1201000;"Powiat bocheński";"ogółem w km2";"2024";649;"km2";"";
1201011;"Bochnia (1)";"ogółem w km2";"2024";30;"km2";"";
1201022;"Bochnia (2)";"ogółem w km2";"2024";131;"km2";"";
1201032;"Drwinia (2)";"ogółem w km2";"2024";109;"km2";"";
1201042;"Lipnica Murowana (2)";"ogółem w km2";"2024";60;"km2";"";
1201052;"Łapanów (2)";"ogółem w km2";"2024";72;"km2";"";
1201063;"Nowy Wiśnicz (3)";"ogółem w km2";"2024";82;"km2";"";
1201064;"Nowy Wiśnicz - miasto (4)";"ogółem w km2";"2024";5;"km2";"";
1201065;"Nowy Wiśnicz - obszar wiejski (5)";"ogółem w km2";"2024";77;"km2";"";
1201072;"Rzezawa (2)";"ogółem w km2";"2024";86;"km2";"";
1201082;"Trzciana (2)";"ogółem w km2";"2024";44;"km2";"";
1201092;"Żegocina (2)";"ogółem w km2";"2024";35;"km2";"";
1202000;"Powiat brzeski";"ogółem w km2";"2024";591;"km2";"";
1202012;"Borzęcin (2)";"ogółem w km2";"2024";103;"km2";"";
1202023;"Brzesko (3)";"ogółem w km2";"2024";103;"km2";"";
1202024;"Brzesko - miasto (4)";"ogółem w km2";"2024";12;"km2";"";
1202025;"Brzesko - obszar wiejski (5)";"ogółem w km2";"2024";91;"km2";"";
1202033;"Czchów (3)";"ogółem w km2";"2024";66;"km2";"";
1202034;"Czchów - miasto (4)";"ogółem w km2";"2024";14;"km2";"";
1202035;"Czchów - obszar wiejski (5)";"ogółem w km2";"2024";52;"km2";"";
1202042;"Dębno (2)";"ogółem w km2";"2024";82;"km2";"";
1202052;"Gnojnik (2)";"ogółem w km2";"2024";55;"km2";"";
1202062;"Iwkowa (2)";"ogółem w km2";"2024";47;"km2";"";
1202072;"Szczurowa (2)";"ogółem w km2";"2024";135;"km2";"";
1203000;"Powiat chrzanowski";"ogółem w km2";"2024";370;"km2";"";
1203013;"Alwernia (3)";"ogółem w km2";"2024";74;"km2";"";
1203014;"Alwernia - miasto (4)";"ogółem w km2";"2024";9;"km2";"";
1203015;"Alwernia - obszar wiejski (5)";"ogółem w km2";"2024";65;"km2";"";
1203022;"Babice (2)";"ogółem w km2";"2024";55;"km2";"";
1203033;"Chrzanów (3)";"ogółem w km2";"2024";79;"km2";"";
1203034;"Chrzanów - miasto (4)";"ogółem w km2";"2024";38;"km2";"";
1203035;"Chrzanów - obszar wiejski (5)";"ogółem w km2";"2024";41;"km2";"";
1203043;"Libiąż (3)";"ogółem w km2";"2024";57;"km2";"";
1203044;"Libiąż - miasto (4)";"ogółem w km2";"2024";36;"km2";"";
1203045;"Libiąż - obszar wiejski (5)";"ogółem w km2";"2024";21;"km2";"";
1203053;"Trzebinia (3)";"ogółem w km2";"2024";105;"km2";"";
1203054;"Trzebinia - miasto (4)";"ogółem w km2";"2024";32;"km2";"";
1203055;"Trzebinia - obszar wiejski (5)";"ogółem w km2";"2024";73;"km2";"";
1204000;"Powiat dąbrowski";"ogółem w km2";"2024";530;"km2";"";
1204012;"Bolesław (2)";"ogółem w km2";"2024";36;"km2";"";
1204023;"Dąbrowa Tarnowska (3)";"ogółem w km2";"2024";116;"km2";"";
1204024;"Dąbrowa Tarnowska - miasto (4)";"ogółem w km2";"2024";23;"km2";"";
1204025;"Dąbrowa Tarnowska - obszar wiejski (5)";"ogółem w km2";"2024";93;"km2";"";
1204032;"Gręboszów (2)";"ogółem w km2";"2024";49;"km2";"";
1204042;"Mędrzechów (2)";"ogółem w km2";"2024";44;"km2";"";
1204052;"Olesno (2)";"ogółem w km2";"2024";78;"km2";"";
1204062;"Radgoszcz (2)";"ogółem w km2";"2024";88;"km2";"";
1204073;"Szczucin (3)";"ogółem w km2";"2024";119;"km2";"";
1204074;"Szczucin - miasto (4)";"ogółem w km2";"2024";7;"km2";"";
1204075;"Szczucin - obszar wiejski (5)";"ogółem w km2";"2024";112;"km2";"";
1205000;"Powiat gorlicki";"ogółem w km2";"2024";966;"km2";"";
1205011;"Gorlice (1)";"ogółem w km2";"2024";24;"km2";"";
1205023;"Biecz (3)";"ogółem w km2";"2024";98;"km2";"";
1205024;"Biecz - miasto (4)";"ogółem w km2";"2024";18;"km2";"";
1205025;"Biecz - obszar wiejski (5)";"ogółem w km2";"2024";80;"km2";"";
1205033;"Bobowa (3)";"ogółem w km2";"2024";50;"km2";"";
1205034;"Bobowa - miasto (4)";"ogółem w km2";"2024";7;"km2";"";
1205035;"Bobowa - obszar wiejski (5)";"ogółem w km2";"2024";43;"km2";"";
1205042;"Gorlice (2)";"ogółem w km2";"2024";103;"km2";"";
1205052;"Lipinki (2)";"ogółem w km2";"2024";66;"km2";"";
1205062;"Łużna (2)";"ogółem w km2";"2024";56;"km2";"";
1205072;"Moszczenica (2)";"ogółem w km2";"2024";38;"km2";"";
1205082;"Ropa (2)";"ogółem w km2";"2024";49;"km2";"";
1205092;"Sękowa (2)";"ogółem w km2";"2024";195;"km2";"";
1205102;"Uście Gorlickie (2)";"ogółem w km2";"2024";287;"km2";"";
1206000;"Powiat krakowski";"ogółem w km2";"2024";1230;"km2";"";
1206012;"Czernichów (2)";"ogółem w km2";"2024";84;"km2";"";
1206022;"Igołomia-Wawrzeńczyce (2)";"ogółem w km2";"2024";63;"km2";"";
1206032;"Iwanowice (2)";"ogółem w km2";"2024";71;"km2";"";
1206042;"Jerzmanowice-Przeginia (2)";"ogółem w km2";"2024";68;"km2";"";
1206052;"Kocmyrzów-Luborzyca (2)";"ogółem w km2";"2024";83;"km2";"";
1206063;"Krzeszowice (3)";"ogółem w km2";"2024";139;"km2";"";
1206064;"Krzeszowice - miasto (4)";"ogółem w km2";"2024";17;"km2";"";
1206065;"Krzeszowice - obszar wiejski (5)";"ogółem w km2";"2024";122;"km2";"";
1206072;"Liszki (2)";"ogółem w km2";"2024";72;"km2";"";
1206082;"Michałowice (2)";"ogółem w km2";"2024";51;"km2";"";
1206092;"Mogilany (2)";"ogółem w km2";"2024";44;"km2";"";
1206103;"Skała (3)";"ogółem w km2";"2024";75;"km2";"";
1206104;"Skała - miasto (4)";"ogółem w km2";"2024";3;"km2";"";
1206105;"Skała - obszar wiejski (5)";"ogółem w km2";"2024";72;"km2";"";
