"Kod";"Nazwa";"Przystanki";"Wyszczególnienie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1200000;"MAŁOPOLSKIE";"ogółem (przystanki autobusowe (z trolejbusowymi) i tramwajowe, przystanki wspólne dla tramwajów i autobusów)";"ogółem";"2024";17635;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2024";17557;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2024";17262;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki tramwajowe";"ogółem";"2024";295;"szt.";"";
1200000;"MAŁOPOLSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2024";78;"szt.";"";
1201000;"Powiat bocheński";"ogółem (przystanki autobusowe (z trolejbusowymi) i tramwajowe, przystanki wspólne dla tramwajów i autobusów)";"ogółem";"2024";833;"szt.";"";
1201000;"Powiat bocheński";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2024";833;"szt.";"";
1201000;"Powiat bocheński";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2024";833;"szt.";"";
1201000;"Powiat bocheński";"przystanki tramwajowe";"ogółem";"2024";0;"szt.";"";
1201000;"Powiat bocheński";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2024";0;"szt.";"";
1201011;"Bochnia (1)";"ogółem (przystanki autobusowe (z trolejbusowymi) i tramwajowe, przystanki wspólne dla tramwajów i autobusów)";"ogółem";"2024";115;"szt.";"";
1201011;"Bochnia (1)";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2024";115;"szt.";"";
1201011;"Bochnia (1)";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2024";115;"szt.";"";
1201011;"Bochnia (1)";"przystanki tramwajowe";"ogółem";"2024";0;"szt.";"";
1201011;"Bochnia (1)";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2024";0;"szt.";"";
1201022;"Bochnia (2)";"ogółem (przystanki autobusowe (z trolejbusowymi) i tramwajowe, przystanki wspólne dla tramwajów i autobusów)";"ogółem";"2024";308;"szt.";"";
1201022;"Bochnia (2)";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2024";308;"szt.";"";
1201022;"Bochnia (2)";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2024";308;"szt.";"";
1201022;"Bochnia (2)";"przystanki tramwajowe";"ogółem";"2024";0;"szt.";"";
1201022;"Bochnia (2)";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2024";0;"szt.";"";
1201032;"Drwinia (2)";"ogółem (przystanki autobusowe (z trolejbusowymi) i tramwajowe, przystanki wspólne dla tramwajów i autobusów)";"ogółem";"2024";43;"szt.";"";
1201032;"Drwinia (2)";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2024";43;"szt.";"";
1201032;"Drwinia (2)";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2024";43;"szt.";"";
1201032;"Drwinia (2)";"przystanki tramwajowe";"ogółem";"2024";0;"szt.";"";
1201032;"Drwinia (2)";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2024";0;"szt.";"";
1201042;"Lipnica Murowana (2)";"ogółem (przystanki autobusowe (z trolejbusowymi) i tramwajowe, przystanki wspólne dla tramwajów i autobusów)";"ogółem";"2024";60;"szt.";"";
1201042;"Lipnica Murowana (2)";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2024";60;"szt.";"";
1201042;"Lipnica Murowana (2)";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2024";60;"szt.";"";
1201042;"Lipnica Murowana (2)";"przystanki tramwajowe";"ogółem";"2024";0;"szt.";"";
1201042;"Lipnica Murowana (2)";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2024";0;"szt.";"";
