"Kod";"Nazwa";"Wiek";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1201000;"Powiat bocheński";"0-4";"mężczyźni";"2024";2729;"osoba";"";
1201000;"Powiat bocheński";"0-4";"kobiety";"2024";2528;"osoba";"";
1201000;"Powiat bocheński";"5-9";"mężczyźni";"2024";3472;"osoba";"";
1201000;"Powiat bocheński";"5-9";"kobiety";"2024";3227;"osoba";"";
1201000;"Powiat bocheński";"10-14";"mężczyźni";"2024";3444;"osoba";"";
1201000;"Powiat bocheński";"10-14";"kobiety";"2024";3224;"osoba";"";
1201000;"Powiat bocheński";"15-19";"mężczyźni";"2024";3193;"osoba";"";
1201000;"Powiat bocheński";"15-19";"kobiety";"2024";3148;"osoba";"";
1201011;"Bochnia (1)";"0-4";"mężczyźni";"2024";632;"osoba";"";
1201011;"Bochnia (1)";"0-4";"kobiety";"2024";545;"osoba";"";
1201011;"Bochnia (1)";"5-9";"mężczyźni";"2024";772;"osoba";"";
1201011;"Bochnia (1)";"5-9";"kobiety";"2024";744;"osoba";"";
1201011;"Bochnia (1)";"10-14";"mężczyźni";"2024";810;"osoba";"";
1201011;"Bochnia (1)";"10-14";"kobiety";"2024";746;"osoba";"";
1201011;"Bochnia (1)";"15-19";"mężczyźni";"2024";744;"osoba";"";
1201011;"Bochnia (1)";"15-19";"kobiety";"2024";796;"osoba";"";
1201022;"Bochnia (2)";"0-4";"mężczyźni";"2024";500;"osoba";"";
1201022;"Bochnia (2)";"0-4";"kobiety";"2024";511;"osoba";"";
1201022;"Bochnia (2)";"5-9";"mężczyźni";"2024";694;"osoba";"";
1201022;"Bochnia (2)";"5-9";"kobiety";"2024";596;"osoba";"";
1201022;"Bochnia (2)";"10-14";"mężczyźni";"2024";696;"osoba";"";
1201022;"Bochnia (2)";"10-14";"kobiety";"2024";683;"osoba";"";
1201022;"Bochnia (2)";"15-19";"mężczyźni";"2024";649;"osoba";"";
1201022;"Bochnia (2)";"15-19";"kobiety";"2024";618;"osoba";"";
1201032;"Drwinia (2)";"0-4";"mężczyźni";"2024";158;"osoba";"";
1201032;"Drwinia (2)";"0-4";"kobiety";"2024";132;"osoba";"";
1201032;"Drwinia (2)";"5-9";"mężczyźni";"2024";198;"osoba";"";
1201032;"Drwinia (2)";"5-9";"kobiety";"2024";176;"osoba";"";
1201032;"Drwinia (2)";"10-14";"mężczyźni";"2024";181;"osoba";"";
1201032;"Drwinia (2)";"10-14";"kobiety";"2024";168;"osoba";"";
1201032;"Drwinia (2)";"15-19";"mężczyźni";"2024";184;"osoba";"";
1201032;"Drwinia (2)";"15-19";"kobiety";"2024";173;"osoba";"";
1201042;"Lipnica Murowana (2)";"0-4";"mężczyźni";"2024";169;"osoba";"";
1201042;"Lipnica Murowana (2)";"0-4";"kobiety";"2024";151;"osoba";"";
1201042;"Lipnica Murowana (2)";"5-9";"mężczyźni";"2024";202;"osoba";"";
1201042;"Lipnica Murowana (2)";"5-9";"kobiety";"2024";179;"osoba";"";
1201042;"Lipnica Murowana (2)";"10-14";"mężczyźni";"2024";180;"osoba";"";
1201042;"Lipnica Murowana (2)";"10-14";"kobiety";"2024";157;"osoba";"";
1201042;"Lipnica Murowana (2)";"15-19";"mężczyźni";"2024";172;"osoba";"";
1201042;"Lipnica Murowana (2)";"15-19";"kobiety";"2024";150;"osoba";"";
1201052;"Łapanów (2)";"0-4";"mężczyźni";"2024";240;"osoba";"";
1201052;"Łapanów (2)";"0-4";"kobiety";"2024";231;"osoba";"";
1201052;"Łapanów (2)";"5-9";"mężczyźni";"2024";316;"osoba";"";
1201052;"Łapanów (2)";"5-9";"kobiety";"2024";291;"osoba";"";
1201052;"Łapanów (2)";"10-14";"mężczyźni";"2024";288;"osoba";"";
1201052;"Łapanów (2)";"10-14";"kobiety";"2024";278;"osoba";"";
