Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
powiat;gmina;powierzchnia;gestosc;populacja;0-4;5-9;10-14;15-19;suma_U19;wydatki;przystanki;Średni wynik
powiat bocheński;Bochnia;30;948.1;28443;1177;1516;1556;1540;5789;82268636.22;115;59,80701755
powiat bocheński;gmina Bochnia;131;159.4;20881;1011;1290;1379;1267;4947;65881749.62;308;63,78393745
powiat bocheński;gmina Drwinia;109;58.5;6376;290;374;349;357;1370;19475653.15;43;53,51051051
powiat bocheński;gmina Lipnica Murowana;60;91.4;5484;320;381;337;322;1360;19633494.93;60;67,37800937
powiat bocheński;gmina Łapanów;72;120.7;8690;471;607;566;506;2150;29950954.99;82;61,74717349
powiat bocheński;gmina Nowy Wiśnicz;82;176.3;14457;784;1011;955;922;3672;52504807.6;151;61,50892857
powiat bocheński;gmina Rzezawa;86;133.8;11507;582;705;722;725;2734;35734112.34;11;59,02887874
powiat bocheński;gmina Trzciana;44;129.3;5689;314;404;404;366;1488;30514679.79;31;49,43274854
powiat bocheński;gmina Żegocina;35;158.4;5544;308;411;400;336;1455;33911369.22;32;66,15863797
powiat brzeski;gmina Borzęcin;103;78.7;8106;344;437;433;407;1621;22734280.32;83;60,23465504
powiat brzeski;gmina Brzesko;103;343.7;35401;1375;1881;2080;1885;7221;107043613.45;277;57,80550887
powiat brzeski;gmina Czchów;66;145.5;9603;442;650;602;588;2282;39960148.93;42;58,45621025
powiat brzeski;gmina Dębno;82;177.5;14555;646;837;880;872;3235;42922888.57;156;59,8241782
powiat brzeski;gmina Gnojnik;55;147.4;8107;392;536;555;508;1991;27139430.05;50;59,06633699
powiat brzeski;gmina Iwkowa;47;140.8;6618;380;474;423;411;1688;27092154.81;19;55,34516765
powiat brzeski;gmina Szczurowa;135;67.2;9072;376;485;481;438;1780;24856857.86;98;58,28187333
powiat chrzanowski;gmina Alwernia;74;166.6;12328;431;657;689;584;2361;36226087.18;60;68,44709459
powiat chrzanowski;gmina Babice;55;165.6;9108;322;457;486;436;1701;21123528.0;60;53,45735037
powiat chrzanowski;gmina Chrzanów;79;547.5;43252;1358;1948;2025;1918;7249;103109215.2;164;56,48656798
powiat chrzanowski;gmina Libiąż;57;367.3;20936;725;1054;1053;1100;3932;50644252.56;129;55,50925502
powiat chrzanowski;gmina Trzebinia;105;304.4;31962;1023;1527;1681;1650;5881;81344675.47;168;62,84227061
powiat dąbrowski;gmina Bolesław;36;73.6;2650;115;110;132;93;450;4491381.11;12;47,22222222
powiat dąbrowski;gmina Dąbrowa Tarnowska;116;179.2;20787;839;1173;1138;1110;4260;52310128.83;91;59,99918744
powiat dąbrowski;gmina Gręboszów;49;64.7;3170;87;135;122;122;466;12693034.26;24;61,00118921
powiat dąbrowski;gmina Mędrzechów;44;73.2;3221;138;162;141;148;589;13345345.33;22;62,23735858
powiat dąbrowski;gmina Olesno;78;98.2;7660;361;408;395;438;1602;18617721.11;12;57,05016181
powiat dąbrowski;gmina Radgoszcz;88;83.8;7374;351;434;426;434;1645;19590571.24;37;68,88269822
powiat dąbrowski;gmina Szczucin;119;103.5;12316;526;692;642;643;2503;41074682.79;29;60,39760216
powiat gorlicki;Gorlice;24;1069.5;25668;759;1135;1301;1344;4539;53821015.71;98;71,22000169
powiat gorlicki;gmina Biecz;98;162.5;15925;585;806;937;897;3225;42792688.53;112;59,72594798
powiat gorlicki;gmina Bobowa;50;192.7;9635;548;623;632;690;2493;26268311.14;67;58,53062964
powiat gorlicki;gmina Gorlice;103;164.3;16923;643;977;1019;963;3602;46598278.07;134;65,30949207
powiat gorlicki;gmina Lipinki;66;100.1;6607;276;383;390;360;1409;16719691.18;49;61,12568134
powiat gorlicki;gmina Łużna;56;146.7;8215;370;485;532;520;1907;25755864.42;36;63,36063669
powiat gorlicki;gmina Moszczenica;38;130.8;4970;234;351;315;299;1199;10895916.37;16;61,99767406
powiat gorlicki;gmina Ropa;49;112.1;5493;274;370;366;360;1370;14329102.0;31;51,71812169
powiat gorlicki;gmina Sękowa;195;25.1;4894;196;254;315;301;1066;10318997.44;42;63,13934635
powiat gorlicki;gmina Uście Gorlickie;287;23.4;6716;298;451;457;419;1625;21258882.14;123;61,66574757
powiat krakowski;gmina Czernichów;84;183.4;15406;688;920;971;989;3568;42545625.03;107;51,22868217
powiat krakowski;gmina Igołomia-Wawrzeńczyce;63;125.1;7881;350;455;442;420;1667;17874506.99;34;76,43673029
powiat krakowski;gmina Iwanowice;71;138.4;9826;418;564;614;611;2207;33175636.91;49;62,72092746
powiat krakowski;gmina Jerzmanowice-Przeginia;68;163.5;11118;464;694;635;627;2420;30006835.87;59;56,79565925
powiat krakowski;gmina Kocmyrzów-Luborzyca;83;224.8;18658;893;1215;1188;1088;4384;50397360.92;163;62,06455008
powiat krakowski;gmina Krzeszowice;139;229.0;31831;1180;1622;1733;1697;6232;90276901.87;222;62,990234
powiat krakowski;gmina Liszki;72;260.2;18734;848;1235;1228;1343;4654;82576550.35;157;57,91144815
powiat krakowski;gmina Michałowice;51;265.0;13515;608;944;988;898;3438;31826248.94;143;60,95918368
powiat krakowski;gmina Mogilany;44;378.2;16641;763;1117;1154;1091;4125;49996943.65;89;69,52092016
powiat krakowski;gmina Skała;75;146.2;10965;438;564;716;686;2404;30887039.36;89;65,63144654
powiat krakowski;gmina Skawina;100;440.7;44070;1916;2514;2491;2356;9277;158079299.59;274;64,12840756
powiat krakowski;gmina Słomniki;111;123.2;13675;528;773;776;741;2818;44556643.25;16;69,11359522
powiat krakowski;gmina Sułoszowa;53;105.6;5597;266;340;301;302;1209;21398527.57;17;67,03864363
powiat krakowski;gmina Świątniki Górne;20;550.8;11016;457;792;734;682;2665;48321367.52;35;65,80287923
powiat krakowski;gmina Wielka Wieś;48;359.3;17246;964;1375;1230;1024;4593;54706935.67;41;62,99086022
powiat krakowski;gmina Zabierzów;99;300.1;29710;1192;1910;1929;1760;6791;100258880.8;197;66,14968368
powiat krakowski;gmina Zielonki;49;578.0;28322;1401;2140;2031;1778;7350;76953898.88;153;69,72521718
powiat limanowski;Limanowa;19;768.2;14596;792;862;855;899;3408;45079710.11;73;66,10252572
powiat limanowski;Mszana Dolna;27;288.1;7779;354;444;460;465;1723;24959624.17;14;64,34283968
powiat limanowski;gmina Dobra;110;92.1;10131;570;663;656;571;2460;42937665.55;72;62,67660108
powiat limanowski;gmina Jodłownik;72;121.5;8748;546;625;608;531;2310;26466613.46;36;69,7737541
powiat limanowski;gmina Kamienica;95;81.9;7781;431;487;529;562;2009;23909001.48;53;62,4178186
powiat limanowski;gmina Laskowa;72;112.4;8093;515;604;567;538;2224;28152113.26;46;67,27933673
powiat limanowski;gmina Limanowa;152;171.6;26083;1475;1928;1896;1715;7014;77724095.85;141;65,17416902
powiat limanowski;gmina Łukowica;70;146.4;10248;599;753;764;690;2806;32502455.72;43;66,76653697
powiat limanowski;gmina Mszana Dolna;170;103.8;17646;925;1225;1161;1095;4406;50163732.93;127;60,34825834
powiat limanowski;gmina Niedźwiedź;74;98.7;7304;413;499;472;480;1864;31003139.44;51;51,85812666
powiat limanowski;gmina Słopnice;57;123.7;7051;482;523;530;457;1992;22126971.82;40;58,19558233
powiat limanowski;gmina Tymbark;33;192.3;6346;334;407;439;453;1633;20973136.56;42;66,41228323
powiat miechowski;gmina Charsznica;78;89.2;6958;243;326;354;303;1226;18207480.89;101;67,11176986
powiat miechowski;gmina Gołcza;90;65.3;5877;302;297;296;290;1185;12152433.93;110;62,80127369
powiat miechowski;gmina Kozłów;86;51.1;4395;160;200;220;230;810;8651186.0;64;47,23104339
powiat miechowski;gmina Książ Wielki;138;34.8;4802;155;288;251;216;910;11524771.9;107;67,87091385
powiat miechowski;gmina Miechów;148;125.1;18515;703;870;974;940;3487;40652207.84;176;63,57613169
powiat miechowski;gmina Racławice;59;40.6;2395;132;147;130;120;529;8952699.88;31;66,13946001
powiat miechowski;gmina Słaboszów;77;42.8;3296;104;143;154;176;577;8070711.27;29;61,43348072
powiat myślenicki;gmina Dobczyce;66;234.3;15464;715;958;1021;919;3613;51640206.11;39;67,66559411
powiat myślenicki;gmina Lubień;75;134.6;10095;526;642;697;638;2503;29613592.93;60;63,76488541
